Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track,Album Cover URL
No Se Va,No Se Va (En Vivo) - EP,Grupo Frontera,4/28/2022,QZHN72212529,973,49,582023797,48881,17367502,70,293059162,1383526,1100596,64787440,805988782,40039,26,18750,222,6,53465,16,84722896,25730,192143,1946266,,0,https://i.scdn.co/image/ab67616d0000b27382ce4c7bbf861185252e82ae
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,02-01-2024,KRA402400004,972,49,21167612,1285,2035557,,147951356,1755973,16500,8382900,70103300,80502081,5,284,,,,8,,,,47782,,0,https://i.scdn.co/image/ab67616d0000b273a9363a161ad54dde56f594d8
get him back!,GUTS,Olivia Rodrigo,09-08-2023,USUG12304099,971,49,287724574,25460,15517447,,54771296,818500,485830,47532963,469327093,1298782751,47,56,34,29,1998239,43,6371213,20559,910103,770996,,1,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d
"Milo J: Bzrp Music Sessions, Vol. 57",en dormir sin Madrid,Bizarrap,10-03-2023,UYB282301041,970,49,181516735,25092,10823656,,155509942,2922165,,,,53784475,7,1849,,9,401523,15,62580,76,,194645,,0,https://i.scdn.co/image/ab67616d0000b2730df78e6e88fdefb1f8f90d55
Aesthetic,Aesthetic,Xilo,2/14/2020,QZFZ22071847,969,49,27312761,9048,2060708,38,3538161,118805,12562825,754488882,5979843010,86473112,6,,239,2,3328,,174203,2348,,26178,,1,https://i.scdn.co/image/ab67616d0000b2739776ddc62438545bbbaa3b38
Mi Kryptonita,Talento De Vida,Doble ONE Flow Letal,10-11-2023,QZTB72322595,967,49.1,140356426,9363,5604254,,87822276,963707,849600,119963984,1057039331,261296658,4,4,,6,5463321,,131941,873,,961258,,0,https://i.scdn.co/image/ab67616d0000b273055cea306ade28a459e948b4
Piece Of Your Heart,Piece Of Your Heart,MEDUZA,02-01-2019,DEUM71807719,966,49.2,995452298,188608,44047615,65,464369299,4586152,742947,75493341,1282810923,34091844,255,171176,196,166,2039570,43,46973428,14833,26135531,14464887,,0,https://i.scdn.co/image/ab67616d0000b27333952070f48e43537e62ddda
One Right Now (with The Weeknd),One Right Now,Post Malone,11-05-2021,USUM72120404,963,49.2,631789333,99512,27179361,65,182180447,1908939,30141,12902227,181078488,954672882,89,255213,1005,25,858001,34,103350630,11558,,2041348,,1,https://i.scdn.co/image/ab67616d0000b2734158fe41143182ec16ead070
Better Now,beerbongs & bentleys,Post Malone,4/27/2018,USUM71805170,962,49.2,1953403531,239092,47844195,74,48443287,734538,104133,9802093,97061584,,144,350458,203,59,582382,79,467402120,251025,,8827325,,1,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Tere Vaaste (From ""Zara Hatke Zara Bachke"")",Varun Jain,5/22/2023,INH102307782,961,49.2,203379355,14067,8370027,63,361600873,2581315,,,,110775514,16,1319,,,,12,,,,376272,,0,https://i.scdn.co/image/ab67616d0000b2734471db1db53e3124151f280b
Call Me Maybe,Kiss,Carly Rae Jepsen,01-01-2012,CAB391100615,960,49.2,1394048309,211162,114187117,77,2007334200,12223928,418014,40431475,367016981,1811023591,222,200327,967,145,1939414,88,401427022,1189600,,14252942,,0,https://i.scdn.co/image/ab67616d0000b273d3ee4bf67c2ac2154006ad72
Toda Remix - Remix,Toda (Remix),Alex Rose,06-01-2018,QM4TX1838235,959,49.2,482021697,68578,13363939,66,1965829285,5786525,696400,34322459,289741256,30691906,25,2857,,5,41009,14,67068115,20616,,2148531,,1,https://i.scdn.co/image/ab67616d0000b27354cdf57ed2aa6f764ce94265
Secreto,Secreto,Anuel AA,1/15/2019,USXDR1900020,957,49.2,759388276,68502,18835572,65,1595484197,8161642,609042,40357374,543804719,306014364,40,159,15,43,358784,21,147935567,36380,3064688,1317266,,0,https://i.scdn.co/image/ab67616d0000b273dc67d6f3cc602f02ed7fd932
